QUESTION,TYPE,DEFAULT
'Grundsätzliche Informationen','HEADER','Hier werden die allgemeinen Informationen erfasst.'
'Anbieterinformationen','SUBHEADER','Alle Informationen zum Cloud-Anbieter.'
'Name des Auftragsverarbeiters?','TEXT','Google LLC'
'Sozialdaten','HEADER','Alle Informationen zu den zu verarbeitenden Sozialdaten.'
'Details zu den Sozialdaten','SUBHEADER','Bitte geben Sie hier die Details zu den Sozialdaten an.'
'Sollen Sozialdaten verarbeitet werden?','BOOL','True'
'Sollen diese persistent gespeichert werden?','BOOL','False'
'Welche Art von Sozialdaten?','TEXT','Versichertendaten'
'Welcher Kreis von betroffenen Personen?','TEXT','Versicherte'
'Welcher Zweck und welche konkrete Aufgabe der Datenverarbeitung besteht?','TEXT','Die Versichertendaten werden zur weiteren Bearbeitung temporär in der Cloud gespeichert.'
'Auftragsverhältnisse','HEADER','Alle Informationen zu den Auftragsverhältnissen.'
'Unterauftrags-Verhältnisse','SUBHEADER', 'Bitte geben Sie hier die Details zu den Unterauftrags-Verhältnissen an.'
'Bestehen Unterauftrags-Verhältnisse?','BOOL','False'
'Verarbeitung','HEADER','Alle Informationen zur Verarbeitung.'
'Intranet','SUBHEADER','Datenverarbeitung im Intranet.'
'Sind die Daten oder Dienste über das Intranet erreichbar?','BOOL','True'
'Welche Art von Daten?','TEXT','Versichertendaten'
'Welche Art von Diensten?','TEXT','Abrechnungserstellung'
'Internet','SUBHEADER','Datenverarbeitung im Internet.'
'Sind die Daten oder Dienste über das Internet erreichbar?','BOOL','True'
'Welche Art von Daten?','TEXT','Versichertendaten'
'Welche Art von Diensten?','TEXT','Abrechnungserstellung'
'Anbieterzugang','SUBHEADER','Alle Informationen zum Anbieterzugang.'
'Muss beim Anbieter ein Zugang beantragt werden?','BOOL','False'
'Webzugang','SUBHEADER','Alle Informationen zum Webzugang.'
'Sind die Daten oder Dienste mit einem Webbrowser erreichbar?','BOOL','True'
'Welche Art von Daten?','TEXT','Versichertendaten'
'Welche Art von Diensten?','TEXT','Abrechnungserstellung'
'App-Zugang','SUBHEADER','Alle Informationen zum App-Zugang.'
'Sind die Daten oder Dienste mit einer App für Smartphones, Tablets oder PCs / Mac erreichbar?','BOOL','True'
'Ist diese Lösung von BITMARK bereitgestellt?','BOOL','False'
'Handelt es sich um einen Speicherplatz für Daten, der bereitgestellt wird?','BOOL','True'
'KI-Tools und -Services','SUBHEADER','Alle Informationen zu KI-Tools und -Services.'
'Werden KI-Tools oder -Services verwendet?','BOOL','True'
'Risiko- und Compliance-Bewertung','SUBHEADER','Alle Informationen zur Risiko- und Compliance-Bewertung.'
'Werden Services zur Risiko- und Compliance-Bewertung eingesetzt?','BOOL','True'
'Herausgabe der Daten an US-Behörden','SUBHEADER','Alle Informationen zur Herausgabe der Daten an US-Behörden.'
'Kann der Anbieter Daten unverschlüsselt an US-amrikanische Behörden übergeben?','BOOL','False'
'Datenverarbeitung in der EU','SUBHEADER','Alle Informationen zur Datenverarbeitung in der EU.'
'Werden alle Cloud-Dienste speziell für die Einhaltung von § 80 Abs. 2 SGB X konfiguriert, um eine Datenverarbeitung innerhalb der EU sicherzustellen?','BOOL','True'
'Machine Learning','SUBHEADER','Alle Informationen zu Machine Learning.'
'Werden ML-Modelle zur Datenanalyse eingesetzt?','BOOL','True'
'Wird sichergestellt, dass ML-Modelle in Infrastruktur, Tools und Workflows ausschließlich in der EU gehostet und genutzt werden?','BOOL','True'
'Unterstützt der Anbieter die Erstellung von sicheren und konformen Machine Learning (ML)-Modellen im Sozial- und Gesundheitswesen?','BOOL','True'
'Landing Zone','SUBHEADER','Alle Informationen zur Landing Zone.'
'Ist das Landing Zone Konzept Bestandteil der Cloud-Architektur?','BOOL','True'
'Folgt die Architektur dem Google Cloud Architecture Framework?','BOOL','True'
'Wie wurde die Landing Zone aufgebaut?','TEXT','Im Design der Landing Zone werden die Elemente wie Netzwerke, Identitäts- und Zugriffsmanagement, Sicherheitsrichtlinien und Überwachungsdienste integriert. Für die Implementierung werden vordefinierte Lösungen genutzt werden, die den Einstieg erleichtern und Best Practices der Branche widerspiegeln.'
'Wurde dafür ein Tool genutzt?','BOOL','True'
'Wie werden Identitäten und Zugriffsrechte innerhalb der Landing Zone verwaltet?','TEXT','Innerhalb der Landing Zone werden Identitäten und Zugriffsrechte durch ein zentrales Identitäts- und Zugriffsmanagementsystem verwaltet, das auf Identity and Access Management IAM) basiert.'
'Werden Maßnahmen zur Netzwerksicherheit in der Architektur der Landing Zone umgesetzt?','BOOL','True'
'Rechtliche Anforderungen','SUBHEADER','Alle Informationen zu den rechtlichen Anforderungen.'
