QUESTION,TYPE,DEFAULT,CHAPTER_PARAGRAPH
'Grundsätzliche Informationen','HEADER','Hier werden die allgemeinen Informationen erfasst.',''
'Anbieterinformationen','SUBHEADER','Alle Informationen zum Cloud-Anbieter.',''
'Name des Auftragsverarbeiters?','TEXT','Google LLC','["2.2"]'
'Sozialdaten','HEADER','Alle Informationen zu den zu verarbeitenden Sozialdaten.',''
'Details zu den Sozialdaten','SUBHEADER','Bitte geben Sie hier die Details zu den Sozialdaten an.',''
'Sollen Sozialdaten verarbeitet werden?','BOOL','True','["2.1"]'
'Sollen diese persistent gespeichert werden?','BOOL','False','["2.1"]'
'Welche Art von Sozialdaten?','TEXT','Versichertendaten','["2.1"]'
'Welcher Kreis von betroffenen Personen?','TEXT','Versicherte','["2.1"]'
'Welcher Zweck und welche konkrete Aufgabe der Datenverarbeitung besteht?','TEXT','Die Versichertendaten werden zur weiteren Bearbeitung temporär in der Cloud gespeichert.','["2.1"]'
'Auftragsverhältnisse','HEADER','Alle Informationen zu den Auftragsverhältnissen.',''
'Unterauftrags-Verhältnisse','SUBHEADER','Bitte geben Sie hier die Details zu den Unterauftrags-Verhältnissen an.',''
'Bestehen Unterauftrags-Verhältnisse?','BOOL','False','["2.2"]'
'Verarbeitung','HEADER','Alle Informationen zur Verarbeitung.',''
'Intranet','SUBHEADER','Datenverarbeitung im Intranet.',''
'Sind die Daten oder Dienste über das Intranet erreichbar?','BOOL','True','["2.4.1"]'
'Welche Art von Daten?','TEXT','Versichertendaten','["2.4.1"]'
'Welche Art von Diensten?','TEXT','Abrechnungserstellung','["2.4.1","2.4.3"]'
'Internet','SUBHEADER','Datenverarbeitung im Internet.',''
'Sind die Daten oder Dienste über das Internet erreichbar?','BOOL','True','["2.4.1"]'
'Welche Art von Daten?','TEXT','Versichertendaten','["2.4.1"]'
'Welche Art von Diensten?','TEXT','Abrechnungserstellung','["2.4.1","2.4.3"]'
'Anbieterzugang','SUBHEADER','Alle Informationen zum Anbieterzugang.',''
'Muss beim Anbieter ein Zugang beantragt werden?','BOOL','False','["4.3.4"]'
'Webzugang','SUBHEADER','Alle Informationen zum Webzugang.',''
'Sind die Daten oder Dienste mit einem Webbrowser erreichbar?','BOOL','True','["2.4.5"]'
'Welche Art von Daten?','TEXT','Versichertendaten','["2.4.1"]'
'Welche Art von Diensten?','TEXT','Abrechnungserstellung','["2.4.1","2.4.3"]'
'App-Zugang','SUBHEADER','Alle Informationen zum App-Zugang.',''
'Sind die Daten oder Dienste mit einer App für Smartphones, Tablets oder PCs / Mac erreichbar?','BOOL','True','["2.4.5"]'
'Ist diese Lösung von BITMARK bereitgestellt?','BOOL','False','["3.4.3"]'
'Handelt es sich um einen Speicherplatz für Daten, der bereitgestellt wird?','BOOL','True','["3.4.4"]'
'KI-Tools und -Services','SUBHEADER','Alle Informationen zu KI-Tools und -Services.',''
'Werden KI-Tools oder -Services verwendet?','BOOL','True','["3.4.4"]'
'Risiko- und Compliance-Bewertung','SUBHEADER','Alle Informationen zur Risiko- und Compliance-Bewertung.',''
'Werden Services zur Risiko- und Compliance-Bewertung eingesetzt?','BOOL','True','["4"]'
'Herausgabe der Daten an US-Behörden','SUBHEADER','Alle Informationen zur Herausgabe der Daten an US-Behörden.',''
'Kann der Anbieter Daten unverschlüsselt an US-amrikanische Behörden übergeben?','BOOL','False','["2.4.5"]'
'Datenverarbeitung in der EU','SUBHEADER','Alle Informationen zur Datenverarbeitung in der EU.',''
'Werden alle Cloud-Dienste speziell für die Einhaltung von § 80 Abs. 2 SGB X konfiguriert, um eine Datenverarbeitung innerhalb der EU sicherzustellen?','BOOL','True','["2.4.4"]'
'Machine Learning','SUBHEADER','Alle Informationen zu Machine Learning.',''
'Werden ML-Modelle zur Datenanalyse eingesetzt?','BOOL','True','["3.4.4"]'
'Wird sichergestellt, dass ML-Modelle in Infrastruktur, Tools und Workflows ausschließlich in der EU gehostet und genutzt werden?','BOOL','True','["3.4.4"]'
'Unterstützt der Anbieter die Erstellung von sicheren und konformen Machine Learning (ML)-Modellen im Sozial- und Gesundheitswesen?','BOOL','True','["3.4.4"]'
'Landing Zone','SUBHEADER','Alle Informationen zur Landing Zone.',''
'Ist das Landing Zone Konzept Bestandteil der Cloud-Architektur?','BOOL','True','["4.3"]'
'Folgt die Architektur dem Google Cloud Architecture Framework?','BOOL','True','["4.3"]'
'Wie wurde die Landing Zone aufgebaut?','TEXT','Im Design der Landing Zone werden die Elemente wie Netzwerke, Identitäts- und Zugriffsmanagement, Sicherheitsrichtlinien und Überwachungsdienste integriert. Für die Implementierung werden vordefinierte Lösungen genutzt werden, die den Einstieg erleichtern und Best Practices der Branche widerspiegeln.','["3.4.4","4.1"]'
